username,scrobble_date,artist,track,album,insertion_date,genre
rafinhaperry,2023-12-10 23:37:06.000,Rita Lee,Caso Sério,Rita Lee,2024-06-17 15:57:50.689,brasil
rafinhaperry,2023-12-10 23:37:06.000,Rita Lee,Caso Sério,Rita Lee,2024-06-17 15:57:50.689,mpb
rafinhaperry,2023-12-10 23:37:06.000,Rita Lee,Caso Sério,Rita Lee,2024-06-17 15:57:50.689,pop
rafinhaperry,2023-12-10 23:37:06.000,Rita Lee,Caso Sério,Rita Lee,2024-06-17 15:57:50.689,rock
rafinhaperry,2023-12-10 23:37:06.000,Rita Lee,Caso Sério,Rita Lee,2024-06-17 15:57:50.689,rock brasil
marisalgueiro,2023-03-28 13:27:59.000,Tiago PZK,Bemaste,Bemaste,2024-06-17 13:06:00.687,favs 2023
isaaflintz,2021-11-17 18:45:09.000,Vinícius de Moraes,Carta Ao Tom 74,Vinicius & Toquinho,2024-06-17 14:48:58.823,Bossa Nova
isaaflintz,2021-11-17 18:45:09.000,Vinícius de Moraes,Carta Ao Tom 74,Vinicius & Toquinho,2024-06-17 14:48:58.823,brasil
isaaflintz,2021-11-17 18:45:09.000,Vinícius de Moraes,Carta Ao Tom 74,Vinicius & Toquinho,2024-06-17 14:48:58.823,nostalgia
isaaflintz,2021-11-17 18:45:09.000,Vinícius de Moraes,Carta Ao Tom 74,Vinicius & Toquinho,2024-06-17 14:48:58.823,saudade
isaaflintz,2021-11-17 18:45:09.000,Vinícius de Moraes,Carta Ao Tom 74,Vinicius & Toquinho,2024-06-17 14:48:58.823,amor
mafekrug,2024-04-17 09:49:00.000,Sixpence None the Richer,Kiss Me,Sixpence None the Richer,2024-06-17 15:32:49.707,pop
mafekrug,2024-04-17 09:49:00.000,Sixpence None the Richer,Kiss Me,Sixpence None the Richer,2024-06-17 15:32:49.707,90s
mafekrug,2024-04-17 09:49:00.000,Sixpence None the Richer,Kiss Me,Sixpence None the Richer,2024-06-17 15:32:49.707,female vocalists
mafekrug,2024-04-17 09:49:00.000,Sixpence None the Richer,Kiss Me,Sixpence None the Richer,2024-06-17 15:32:49.707,Love
mafekrug,2024-04-17 09:49:00.000,Sixpence None the Richer,Kiss Me,Sixpence None the Richer,2024-06-17 15:32:49.707,rock
rafinhaperry,2019-07-17 22:54:55.000,Greta Van Fleet,Safari Song,From The Fires,2024-06-17 16:04:30.804,rock
rafinhaperry,2019-07-17 22:54:55.000,Greta Van Fleet,Safari Song,From The Fires,2024-06-17 16:04:30.804,Rock n' Roll
rafinhaperry,2019-07-17 22:54:55.000,Greta Van Fleet,Safari Song,From The Fires,2024-06-17 16:04:30.804,FM4
rafinhaperry,2019-07-17 22:54:55.000,Greta Van Fleet,Safari Song,From The Fires,2024-06-17 16:04:30.804,rock classic
isaaflintz,2019-04-27 17:08:07.000,The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",(500) Days of Summer (Music from the Motion Picture),2024-06-17 15:00:05.072,rock
isaaflintz,2019-04-27 17:08:07.000,The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",(500) Days of Summer (Music from the Motion Picture),2024-06-17 15:00:05.072,indie pop
isaaflintz,2019-04-27 17:08:07.000,The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",(500) Days of Summer (Music from the Motion Picture),2024-06-17 15:00:05.072,alternative rock
